"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"246",564,2019-01-21,NA,"Não","Sim","Sem julgamento"
"247",565,2019-02-25,2019-08-13,"Não","Não","Sem mérito"
"248",566,2019-02-26,2019-09-23,"Não","Não","Sem mérito"
"249",567,2019-02-28,2021-04-12,"Não","Não","Improcedente"
"250",568,2019-03-12,2019-10-14,"Não","Não","Sem mérito"
"251",569,2019-03-13,2024-06-17,"Não","Não","Procedente em parte"
"252",570,2019-03-14,2019-09-30,"Não","Não","Sem mérito"
"253",571,2019-03-19,2021-10-13,"Não","Não","Sem mérito"
"254",572,2019-03-25,2020-11-26,"Não","Não","Improcedente"
"255",573,2019-03-25,2023-05-04,"Não","Não","Procedente em parte"
"256",574,2019-03-28,2021-05-10,"Não","Não","Sem mérito"
"257",575,2019-04-02,2019-05-31,"Não","Não","Sem mérito"
"258",576,2019-04-11,2019-06-13,"Não","Não","Sem mérito"
"259",577,2019-04-12,2019-11-05,"Não","Não","Sem mérito"
"260",578,2019-04-12,NA,"Sim","Sim","Sem julgamento"
"261",579,2019-04-24,2021-02-03,"Não","Não","Sem mérito"
"262",580,2019-05-04,2019-08-06,"Não","Não","Sem mérito"
"263",581,2019-05-08,2024-02-16,"Não","Não","Procedente em parte"
"264",582,2019-05-14,2020-10-13,"Sim","Não","Prejudicado"
"265",583,2019-05-15,2020-10-15,"Sim","Não","Prejudicado"
"266",584,2019-05-17,2020-03-27,"Não","Não","Procedente"
"267",585,2019-05-21,2022-05-06,"Não","Não","Sem mérito"
"268",586,2019-05-23,2024-02-16,"Não","Não","Procedente em parte"
"269",587,2019-05-27,2020-10-06,"Não","Não","Sem mérito"
"270",588,2019-05-28,2022-03-28,"Não","Não","Procedente"
"271",589,2019-05-28,2019-08-07,"Não","Não","Sem mérito"
"272",590,2019-06-12,2020-10-06,"Sim","Não","Procedente"
"273",591,2019-06-12,2024-11-05,"Não","Não","Improcedente"
"274",592,2019-06-14,2024-02-23,"Não","Não","Sem mérito"
"275",593,2019-06-18,2025-02-14,"Não","Não","Procedente em parte"
"276",594,2019-06-18,2023-02-06,"Não","Não","Prejudicado"
"277",595,2019-06-19,2020-10-22,"Não","Não","Prejudicado"
"278",596,2019-06-21,2022-08-17,"Não","Não","Procedente em parte"
"279",597,2019-06-24,2020-09-28,"Não","Não","Procedente em parte"
"280",598,2019-06-27,2021-08-12,"Não","Não","Procedente em parte"
