"","classe","numero","data_autuacao","data_baixa","relator_atual","evento","tempo"
"178","ADPF","496",2017-10-30,2022-11-22,"MIN. LUÍS ROBERTO BARROSO",1,1849
"179","ADPF","497",2017-11-21,2019-11-04,"MIN. EDSON FACHIN",1,713
"180","ADPF","498",2017-11-23,2020-06-01,"MIN. CELSO DE MELLO",1,921
"181","ADPF","499",2017-11-23,2023-08-09,"MIN. ALEXANDRE DE MORAES",1,2085
"182","ADPF","500",2017-11-28,2022-05-11,"MIN. LUÍS ROBERTO BARROSO",1,1625
"183","ADPF","501",2017-11-30,2022-09-20,"MIN. ALEXANDRE DE MORAES",1,1755
"184","ADPF","502",2017-12-18,2018-03-19,"MIN. ALEXANDRE DE MORAES",1,91
"185","ADPF","503",2017-12-13,2019-11-05,"MIN. CELSO DE MELLO",1,692
"186","ADPF","504",2017-12-14,2020-12-09,"MIN. ROSA WEBER",1,1091
"187","ADPF","505",2017-12-21,2018-08-26,"MIN. MARCO AURÉLIO",1,248
"188","ADPF","506",2017-12-21,2018-04-13,"MIN. MARCO AURÉLIO",1,113
"189","ADPF","507",2018-01-08,2018-04-13,"MIN. ROSA WEBER",1,95
"190","ADPF","508",2018-01-19,2020-08-11,"MIN. LUÍS ROBERTO BARROSO",1,935
"191","ADPF","509",2018-01-26,2025-06-06,"MIN. ANDRÉ MENDONÇA",0,2688
"192","ADPF","510",2018-02-06,2018-08-09,"MIN. MARCO AURÉLIO",1,184
"193","ADPF","511",2018-02-21,2024-04-11,"MIN. FLÁVIO DINO",1,2241
"194","ADPF","512",2018-02-23,2024-02-09,"MIN. EDSON FACHIN",1,2177
"195","ADPF","513",2018-03-02,2021-02-17,"MIN. ROSA WEBER",1,1083
"196","ADPF","514",2018-04-20,2019-10-02,"MIN. EDSON FACHIN",1,530
"197","ADPF","515",2018-05-02,2020-12-09,"MIN. EDSON FACHIN",1,952
"198","ADPF","516",2018-05-10,2019-09-23,"MIN. EDSON FACHIN",1,501
"199","ADPF","517",2018-05-16,2019-10-09,"MIN. LUÍS ROBERTO BARROSO",1,511
"200","ADPF","518",2018-05-16,2023-04-28,"MIN. EDSON FACHIN",1,1808
"201","ADPF","519",2018-05-25,2025-06-06,"MIN. ALEXANDRE DE MORAES",0,2569
"202","ADPF","520",2018-06-07,2018-08-24,"MIN. RICARDO LEWANDOWSKI",1,78
"203","ADPF","521",2018-06-11,2018-09-28,"MIN. EDSON FACHIN",1,109
"204","ADPF","522",2018-06-12,2025-06-06,"MIN. MARCO AURÉLIO",0,2551
"205","ADPF","523",2018-06-12,2021-03-11,"MIN. ROSA WEBER",1,1003
"206","ADPF","524",2018-06-15,2023-09-19,"MIN. EDSON FACHIN",1,1922
"207","ADPF","525",2018-06-19,2019-03-28,"MIN. LUIZ FUX",1,282
"208","ADPF","526",2018-06-25,2020-06-23,"MIN. CÁRMEN LÚCIA",1,729
"209","ADPF","527",2018-06-25,2023-11-28,"MIN. LUÍS ROBERTO BARROSO",1,1982
"210","ADPF","528",2018-06-26,2022-08-08,"MIN. ALEXANDRE DE MORAES",1,1504
"211","ADPF","529",2018-06-26,2020-04-29,"MIN. GILMAR MENDES",1,673
"212","ADPF","530",2018-06-27,2020-12-21,"MIN. EDSON FACHIN",1,908
"213","ADPF","531",2018-06-28,2018-09-05,"MIN. GILMAR MENDES",1,69
"214","ADPF","532",2018-07-13,2018-08-31,"MIN. CELSO DE MELLO",1,49
"215","ADPF","533",2018-07-23,2022-12-13,"MIN. LUÍS ROBERTO BARROSO",1,1604
"216","ADPF","534",2018-07-25,2020-09-28,"MIN. CELSO DE MELLO",1,796
"217","ADPF","535",2018-07-30,2021-08-25,"MIN. RICARDO LEWANDOWSKI",1,1122
"218","ADPF","536",2018-08-03,2018-11-09,"MIN. EDSON FACHIN",1,98
"219","ADPF","537",2018-08-16,2018-09-27,"MIN. CELSO DE MELLO",1,42
"220","ADPF","538",2018-08-30,2019-08-30,"MIN. CÁRMEN LÚCIA",1,365
"221","ADPF","539",2018-09-10,2021-03-16,"MIN. LUIZ FUX",1,918
"222","ADPF","540",2018-09-12,2019-04-05,"MIN. EDSON FACHIN",1,205
"223","ADPF","541",2018-09-19,2019-06-04,"MIN. LUÍS ROBERTO BARROSO",1,258
"224","ADPF","542",2018-09-25,2020-11-13,"MIN. CELSO DE MELLO",1,780
"225","ADPF","543",2018-09-27,2019-03-13,"MIN. LUIZ FUX",1,167
"226","ADPF","544",2018-10-09,2022-06-27,"MIN. RICARDO LEWANDOWSKI",1,1357
"227","ADPF","545",2018-10-11,2019-04-08,"MIN. CÁRMEN LÚCIA",1,179
"228","ADPF","546",2018-10-17,2023-02-27,"MIN. LUÍS ROBERTO BARROSO",1,1594
"229","ADPF","547",2018-10-17,2021-06-30,"MIN. LUÍS ROBERTO BARROSO",1,987
"230","ADPF","548",2018-10-26,2020-06-24,"MIN. CÁRMEN LÚCIA",1,607
"231","ADPF","549",2018-10-30,2020-10-05,"MIN. CELSO DE MELLO",1,706
"232","ADPF","550",2018-11-09,2024-03-20,"MIN. LUIZ FUX",1,1958
"233","ADPF","551",2018-11-19,2019-03-05,"MIN. CÁRMEN LÚCIA",1,106
