politica;21;98;31;43;23
respectivo;46;37;22;68;48
pleno;7;25;68;12;28
permitir;44;44;52;45;46
edson_fachin;0;1;57;5;70
praticar;18;49;28;31;92
pai;29;30;4;125;15
gilmar_mendes;0;7;76;1;63
capaz;7;5;203;7;13
veicular;86;31;32;11;53
revelar;2;24;125;26;43
observancia;16;26;113;26;30
especificar;34;22;73;35;52
demonstrar;24;25;88;30;47
decidir;13;15;29;18;145
respeito;21;56;54;47;42
suprema_corte;11;21;88;34;63
amplo;9;23;149;27;21
regulamentar;86;38;49;2;25
dezembro;60;11;16;36;73
carmen_lucia;1;1;54;0;70
advogado_geral_da_uniao;20;3;9;8;89
omissao;13;23;52;53;74
peticao_inicial;4;14;88;8;94
data;56;3;7;42;60
verificar;19;16;92;30;58
suspensao;38;7;8;44;106
ordinario;11;5;113;1;82
codigo;38;21;13;5;125
conhecer;3;2;62;3;120
alegar;50;32;27;31;73
maior;41;35;26;85;25
autorizar;54;20;51;46;40
educacao;20;56;4;94;16
tese;6;14;76;14;96
subjetivo;2;4;180;3;23
pretensao;14;15;85;11;77
ms;79;2;8;49;20
mecanismo;10;12;132;11;0
b;59;23;17;35;52
ativo;17;12;59;9;86
prestar;46;22;48;25;54
pressuposto;3;6;143;0;34
internacional;10;61;15;69;13
contar;73;34;15;51;27
assentar;5;23;87;24;58
manifestar;20;22;21;19;124
atender;29;31;101;18;22
liberdade;8;112;6;20;35
justica;18;68;39;4;60
determinado;34;68;19;40;33
impedir;18;26;77;32;50
inobservancia;6;7;126;12;44
inelegibilidade;2;3;1;1;168
funcao;47;32;51;4;40
ajuizado;10;4;64;8;108
tribunal_de_justica;6;2;90;2;80
destacar;36;19;66;40;34
prefeito;17;4;40;8;86
arguente;11;9;66;11;91
justificar;9;20;81;28;41
exigencia;30;23;41;82;22
cabivel;1;4;134;5;41
diretor;54;31;14;68;24
programa;52;39;3;72;5
limite;77;33;23;16;28
grifar;7;16;62;72;25
existir;17;13;87;33;20
constituir;19;50;57;19;48
afastar;8;18;81;9;74
regional;9;15;11;11;123
mencionar;40;30;32;28;43
