"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"recolhimento";-0,0192801874715744;1,65555947633101;-0,0116449336088448;0,999932195461895;0,000263194092627854;0,999736805907272;1,29372369379827e-08;9,53912636922492e-05;3,48031879720182e-05;0,682380207722766;1,62058520826842e-05
"rced";0,967170190254413;3,23759290640607;0,286232404955635;0,958160221650489;0,147650975252319;0,852349024747583;2,66363465266444e-05;0,000298478690794235;2,84753356134695e-05;1,44523336888168;5,94764189884985e-05
"psiquico";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"proximidade";-0,862207282247897;0,946978948780483;-0,673235773406122;0,739427882491769;0,616735443729588;0,383264556270396;2,58727385779871e-05;3,12104245791734e-05;3,48031879720182e-05;0,630398934653153;1,38308849341117e-05
"prorrogacao";-0,862207282247897;0,946978948780483;-0,673235773406122;0,739427882491769;0,616735443729588;0,383264556270396;2,58727385779871e-05;3,12104245791734e-05;3,48031879720182e-05;0,630398934653153;1,38308849341117e-05
"projecao";-1,45772002946782;-0,908668486783904;-0,848627363188889;-0,528991113769479;0,833213318347304;0,16678668165267;7,3954953687804e-05;2,87362412165158e-05;3,48031879720182e-05;0,916957606454271;2,92629120535393e-05
"prevalencia";-0,978240082135741;-0,053925832412267;-0,998484051713365;-0,0550417884344519;0,99843697495128;0,00156302504872496;3,33050380502189e-05;1,01207510575154e-07;3,48031879720182e-05;0,562132070999548;1,09975451657064e-05
"preocupante";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"persistir";-0,498760134803658;0,800816821959369;-0,52866411720596;0,848831108748285;0,429537857988186;0,570462142011778;8,65769923326359e-06;2,23195483358196e-05;3,48031879720182e-05;0,436962581005187;6,645191842088e-06
"perseguir";-0,37505296102546;0,227283367952437;-0,855219517903905;0,51826593192705;0,840910238882939;0,159089761117065;4,89558081557669e-06;1,79785366469923e-06;3,48031879720182e-05;0,234839429277782;1,91938041776057e-06
