"";"classe 1";"classe 2";"classe 3"
"manter";11,368;-36,393;5,443
"so";-3,681;31,224;-12,531
"pretender";-12,403;13,114;0,099
"configurar";-7,765;12,678;-0,216
"levar";46,713;-19,254;-11,022
"busca";-2,087;0,476;0,895
"admissibilidade";-120,455;303,339;-28,249
"tribunal_superior_eleitoral";-102,096;-34,491;309,652
"territorio";99,939;-31,36;-32,444
"assegurar";97,779;-30,769;-31,652
"grave";68,306;-26,883;-17,131
"cumprir";0,895;3,426;-8,9
"controle_concentrado_de_constitucionalidade";-118,667;162,304;-0,369
"essencial";-0,349;23,416;-18,415
"definir";28,54;-4,439;-15,627
"congresso_nacional";-10,626;-20,158;69,573
"causa";-59,387;-5,684;127,015
"preliminar";-17,74;-3,903;46,926
"poder_judiciario";2,859;-16,771;5,146
"representar";24,914;-10,081;-6,026
"publico";82,222;-20,569;-32,777
"fixar";-0,013;-24,019;26,636
"final";0,887;-36,327;26,105
"exemplo";-0,016;19,101;-18,872
"taxa";131,165;-49,808;-34,415
"improcedencia";-43,762;-33,382;182,382
"garantia";47,303;-20,285;-10,564
"envolver";-0,296;1,682;-0,502
"alegacao";-11,065;0,405;9,951
"redacao";2,598;-41,218;22,52
"doer";8,416;-8,204;-0,145
"superior";25,138;-15,527;-2,872
"relacionar";69,506;-26,336;-18,287
"privado";102,545;-35,211;-30,266
"pag";38,995;-28,627;-2,744
"tratamento";126,8;-43,144;-37,804
"tecnico";119,767;-45,844;-31,114
"negativo";-57,152;91,938;-1,413
"executivo";18,282;-4,508;-7,373
"embargos_de_declaracao";-102,753;-2,19;172,243
"atribuicao";19,085;-14,12;-1,308
"trazer";0,257;-24,252;20,025
"passar";14,611;-6,821;-2,872
"carta";-6,197;6,679;0,039
"agravante";-96,124;31,809;29,534
"adolescente";158,283;-53,343;-47,685
"penal";8,416;-14,62;0,365
"item";90,367;-35,713;-22,544
"deixar";17,652;-12,753;-1,308
"conteudo";-14,153;8,022;1,958
"ambiental";72,917;-24,268;-22,266
"providenciar";21,438;-5,801;-7,998
"efetivo";5,603;0,07;-8,889
"defender";-1,791;-0,089;3,382
"ultimar";-0,007;0,256;-0,183
"teor";0,008;-5,387;5,206
"revogacao";-76,535;-19,025;210,06
"marco";-0,554;-43,359;57,946
"tornar";-0,573;9,89;-5,58
"legalidade";4,135;0;-5,386
"impor";-4,447;0,017;5,206
"candidato";-4,501;-34,118;70,984
"relativo";26,61;-9,455;-7,557
"oxigenio";132,037;-43,191;-41,066
"marco_aurelio";-91,028;110,07;0,023
"intervencao";10,613;-0,005;-13,359
"controle_abstrato_de_constitucionalidade";-102,695;182,829;-5,196
"conselho";25,816;-16,149;-2,861
"visar";5,247;-3,432;-0,519
"intdo";-5,816;-2,155;18,215
"incidental";-11,263;11,057;0,184
