"";"classe 1";"classe 2"
"repasse";1;0
"devidamente";0,023;1
"continuar";1;0
"agdo";0;1
"trânsito";0,481;1
"unido";1;0
"integridade";1;0
"carvalho";1;0,004
"originário";1;0,54
"estrito";1;0
"constatar";1;0,594
"incêndio";1;0
"consumidor";1;0
"servir";1;0,003
"pernambuco";0;1
"passageiro";1;0
"identificar";1;0
"deter";1;0
"comprometer";1;0
"ag";0;1
"transcrever";0;1
"guarda";1;0
"complexo";1;0
"carmen";0;1
"vencer";0;1
"telecomunicação";1;0
"justo";1;0
"semelhante";0;1
"reg";0;1
"pacto";1;0
"homem";1;0
"eventualmente";1;0
"assumir";1;0
"morar";0;1
"aprovação";1;0
"adolescente";1;0
"acusar";1;0
"paraná";0;1
"superar";0;1
"sentença";1;0
"atenção";1;0
"goiás";0;1
"distrital";1;0
"ofício";1;0
"leitura";1;0,034
"independência";1;0
"alcance";1;0,231
"tampouco";1;0
"penitenciário";1;0
"genérico";1;0
"familiar";1;0
"eleitor";1;0
"crise";1;0
"agir";1;0
"premissa";1;0,008
"acolher";0;1
"prover";0;1
"custo";1;0
"cidadania";1;0,001
"reserva";1;0
"propositura";0;1
"inserir";1;0
"incidental";0;1
"compatível";1;0
"apresentação";1;0
"lilian";0;1
"funcional";1;0
"família";1;0
"vício";0;1
"pantanal";1;0
"compor";1;0
"magistrado";1;0
"infraconstitucional";0,89;1
"formulação";1;0
"assunto";1;0
"permanecer";1;0
"interpretar";1;0
"instaurar";1;0,001
"ilegitimidade";0;1
"executar";1;0
"evidente";1;0
"consignar";0,061;1
"candidato";1;0
"apoio";1;0
"imóvel";1;0
"titular";1;0
"dino";0;1
"animal";1;0
"tocante";0,077;1
"diário";0,673;1
"conama";1;0,045
"amapá";0,001;1
"geração";1;0
"resposta";1;0
"multa";1;0
"cultura";1;0
"compromisso";1;0
"moralidade";1;0
"maio";0,032;1
"identidade";1;0
"exceção";1;0
"outubro";0,001;1
"argumentar";1;0,001
"traduzir";1;0
"salvo";1;0
"redator";0;1
"consubstanciar";0,78;1
"cadastro";1;0
"and";1;0
"decorrência";1;0
"lembrar";1;0
"modalidade";1;0
"importar";1;0
"composição";1;0
"bioma";1;0
"apontado";0;1
"veículo";1;0
"pesquisa";1;0
"jurisprudencial";0,001;1
"fogo";1;0
"companhia";0,021;1
"subsídio";1;0
"externo";1;0
"padrão";1;0
"enfrentar";1;0,003
"núcleo";1;0
"inobservância";0;1
"divulgação";1;0
"previdência";1;0
"isonomia";1;0
"transferência";1;0
"opção";1;0
"consistir";1;0
"pagar";1;0
"substituir";1;0
"carcerário";1;0
"barbosa";0;1
"inteligência";1;0
"médio";1;0
"mercado";1;0
"posterior";1;0
"ocorrência";1;0,001
"suspenso";0;1
"época";1;0
"interpor";0;1
"estudante";1;0
"confirmar";0;1
"pleitear";0;1
"interamericano";1;0
"vara";0,851;1
"oferecer";1;0
"equipamento";1;0
"envolvido";1;0
"deferimento";0;1
"legitimar";1;0,577
"agravante";0;1
"aduzir";0,201;1
"significativo";1;0
"interessado";1;0,016
"promoção";1;0
"rito";0,186;1
"regulamentação";1;0
"contratual";1;0
"teoria";1;0
"indicado";1;0,015
"rondônia";0,525;1
"equilíbrio";1;0
"ciência";1;0
"ferreira";1;0,01
"dispensar";1;0
"ilícito";1;0
"comportamento";1;0
"www";1;0
"salientar";1;0
"moral";1;0
"modulação";0;1
"ecologicamente";1;0
"conversão";0;1
"to";0;1
"mensal";1;0
"centro";1;0
"negociação";1;0
"impessoalidade";1;0
"consolidado";0;1
"reger";0,832;1
"abril";0,008;1
"inerente";1;0
"fundamentar";1;0,004
"característica";1;0
"beneficiário";1;0
"sequestro";0;1
"autônomo";1;0
"educacional";1;0
"contribuição";1;0
"desconto";1;0
"rejeitar";0;1
"síntese";0;1
"empregador";1;0
"distinção";1;0
"convênio";1;0
"orgânico";1;0,706
"tratado";1;0
"vinculante";0,001;1
"predeterminado";1;0,764
"inexistir";0;1
"sergipe";0;1
"afastamento";1;0
"sustentabilidade";0;1
"reeleição";1;0
"abuso";1;0
"oriundo";1;0
"indicador";1;0
"imposição";1;0
"setembro";0;1
"preocupação";1;0
"divergir";0;1
"condenação";1;0
"amazônico";1;0
"rua";1;0
"reflexo";0;1
"esclarecer";1;0,003
"ressalva";0;1
"identificação";1;0
"ausente";0;1
"recebimento";1;0
"possibilitar";1;0
"mg";0;1
"antonio";0,163;1
"indispensável";1;0
"comando";1;0
"seguimento";0;1
"julho";1;0,001
"contato";1;0
"senador";1;0
"requerimento";0;1
"original";1;0
"funcionário";1;0
"sujeitar";1;0
"merecer";0;1
"climático";1;0
"vontade";1;0
"extrair";1;0,001
"ensejar";0,845;1
"denominar";1;0
"concorrencial";1;0
"decidido";0;1
"clima";1;0
"integralmente";0;1
"dificuldade";1;0
"maria";1;0,025
"decisório";1;0
"principalmente";1;0
"saneamento";1;0
"liberação";1;0
"clt";1;0
"ressalvar";0,81;1
"presidencial";1;0,407
"perceber";1;0
"fundamentação";0;1
"ec";1;0
"funai";1;0
"sofrer";1;0
"resultante";0;1
"propriedade";1;0
"obter";1;0
"osição";0;1
"revogação";0;1
"metropolitano";1;0
"aludir";1;0
"pereira";0,54;1
"agosto";0;1
"obrigatoriedade";1;0
"constrição";0;1
"florestal";1;0
"explicitar";1;0,159
"carreira";1;0
"afetar";1;0
"dito";1;0
"tocantins";1;0,391
"inclusão";1;0
"adquirir";1;0
"adequação";0,016;1
"prejudicar";0;1
"martins";0,857;1
"inicialmente";0;1
"desenvolver";1;0
"contraditório";1;0
"respeitar";1;0
"opinião";1;0
"operacional";1;0
"doença";1;0
"divulgar";1;0
"acre";1;0,339
"tramitação";1;0,05
"potencial";1;0
"acusação";1;0
"versar";1;0,545
"queimado";1;0
"indevido";1;0
"teori";0;1
"letalidade";1;0
"agrotóxico";1;0
"pr";0;1
"típico";1;0
"transitar";0;1
"prioridade";1;0
"fator";1;0
"loteria";1;0
"asseverar";1;0,002
"conservação";1;0
"condenar";1;0
"acordar";0;1
"crítica";1;0
"contrariar";1;0
"rs";0;1
"pronunciamento";0;1
"energia";1;0,002
"acompanhamento";1;0
"remuneratório";1;0
"fonte";1;0
"adicional";1;0
"exclusivo";1;0
"deduzir";0;1
"suscitado";0;1
"abranger";1;0
"viola";1;0
"representativo";1;0
"adpfs";0;1
"perigo";1;0,002
"corresponder";1;0
"consistente";1;0,699
"bastar";0,029;1
"provocar";1;0,427
"indústria";0,961;1
"discricionariedade";1;0
"dependente";1;0
"vaga";1;0
"rafael";0;1
"contratar";1;0
"apreciar";0;1
"roraima";0,121;1
"isolado";1;0
"instrução";1;0,005
"entrada";1;0
"coordenação";1;0
"tst";1;0,076
"feriado";1;0
"entrar";1;0
"desempenho";1;0
"costa";1;0
"contribuir";1;0
"avaliar";1;0
"talvez";1;0
"viver";1;0
"vantagem";1;0
"sustentável";1;0
"repartição";1;0
"justificativo";1;0
"independente";1;0
"culto";1;0
"rol";1;0
"nação";1;0
"apreciado";0;1
"ampliar";1;0
"prorrogação";1;0
"coronavírus";1;0
"capital";1;0
"assinalar";1;0,935
"federalismo";1;0
"autarquia";1;0
"relacionar";1;0
"enfatizar";1;0
"pertencer";0;1
"juntar";0;1
"índice";1;0
"vinculação";1;0
"justamente";1;0
"global";0;1
"dívida";1;0
"coercitivo";1;0
"jornada";1;0
"preencher";0;1
"evento";1;0
"emergência";1;0
"ristf";0;1
"fevereiro";0;1
"concretização";1;0
"soberania";1;0
"previdenciário";1;0
"modificação";1;0
"inscrever";1;0,001
"indeferir";0;1
"incluído";1;0
"arguições";0;1
"índole";0;1
"passível";0;1
"júri";1;0
"surgir";1;0
"aplicável";1;0
"territorial";1;0
"posteriormente";1;0,932
"par";0,138;1
"cronograma";1;0
"zavascki";0;1
"resolver";0,046;1
"relativamente";1;0,105
